parameter	lambda_true	lambda_predicted
dev_ego_heading	13.436874431986542	13.127147518528261
rel_heading	8.028476312222669	0.6508836733487406
dev_collission	6.677958297612992	1.1163529367168152
dev_ego_heading	0.3099050994375947	-0.5228420631166474
rel_heading	10.123117498736114	6.194094784933403
dev_collission	-17.218087370029362	-8.027974182919934
dev_ego_heading	-11.727032129651736	-15.0
rel_heading	-7.592602620266318	-12.374117434872637
dev_collission	1.116926675071575	1.3305324054094252
dev_ego_heading	2.6652621332177127	1.2140889370378152
rel_heading	11.643107653799536	6.588506932336706
dev_collission	-15.932141260755998	-8.98144367477375
dev_ego_heading	3.5264049441529295	5.931864737918126
rel_heading	-4.264469122115933	-8.51731513258871
dev_collission	2.5143692116998224	8.592639746974587
dev_ego_heading	-0.049562368383062605	-1.1212904176060734
rel_heading	1.8487599349804995	3.6961479139213145
dev_collission	15.771613066860645	3.25376351454942
dev_ego_heading	3.514038292329385	-0.8001675684906724
rel_heading	4.529441915065064	6.960145835995778
dev_collission	-10.828033389403839	-9.270800924951313
dev_ego_heading	-4.960658237705848	-1.10017962106869
rel_heading	7.677040930992806	6.618740711377323
dev_collission	-11.691231131525122	-6.8858299787582276
dev_ego_heading	-8.129713585915521	-14.453962846376752
rel_heading	-3.5172356902852773	-9.098026295867516
dev_collission	-6.299102141617219	-19.979669326592308
dev_ego_heading	5.418136860378635	5.254721263778004
rel_heading	-12.849493091683945	-11.552455856482867
dev_collission	10.87817063695319	15.028047515879827
dev_ego_heading	-8.812687279556874	-3.7245992098014766
rel_heading	12.420910624930869	8.203549929862302
dev_collission	1.77957157748272	4.626848594261758
dev_ego_heading	3.3525669584068183	1.4169674752716688
rel_heading	8.631449319341506	14.180530798946531
dev_collission	19.33420703539754	18.681193560547065
dev_ego_heading	-2.6812925504953693	-1.485005508007813
rel_heading	3.607234837549086	5.976804180081344
dev_collission	-10.993064512602668	-8.918795808035505
dev_ego_heading	13.51207520108651	15.0
rel_heading	8.114489286458426	8.01853366066242
dev_collission	8.812195554677405	7.8971002868473485
dev_ego_heading	5.622743689526363	15.0
rel_heading	-13.370835944627519	-15.0
dev_collission	-9.325738111366032	-9.052567701421482
dev_ego_heading	6.736384147346335	14.762573031270847
rel_heading	-4.564577295099252	-12.799008514819699
dev_collission	3.160578619249957	-1.5136341667569724
dev_ego_heading	6.422634482397161	3.4660358995609513
rel_heading	-11.23656599946261	-2.512191115517514
dev_collission	-13.442663156361458	-3.7701487752985896
dev_ego_heading	-12.407310732734668	-7.310753238141718
rel_heading	6.8955688748121595	15.0
dev_collission	-7.199869711436996	-0.40292863879931473
dev_ego_heading	9.909855849857934	3.814223367937053
rel_heading	11.776240601677575	15.0
dev_collission	-9.808207609939315	-8.743175716677488
dev_ego_heading	7.764226456631079	3.829941956042465
rel_heading	9.291200377625287	15.0
dev_collission	3.3002759827468324	3.0387170490647337
dev_ego_heading	-8.711069143255784	-4.658936713320148
rel_heading	12.478369976532317	15.0
dev_collission	3.3954634412307456	8.67404208220332
dev_ego_heading	-12.039622729211331	-4.293495980241265
rel_heading	2.0098580537278536	7.253709596739005
dev_collission	7.271671067876234	5.889450691975971
dev_ego_heading	9.449878003031927	13.127147518528261
rel_heading	3.2919855234450566	0.6508836733487406
dev_collission	15.461912655693204	1.1163529367168152
dev_ego_heading	0.823183223955926	2.3520927377830496
rel_heading	-0.44300237814643495	-2.71626926872357
dev_collission	0.11138310579993771	-1.0223223937101247
dev_ego_heading	9.997944084080434	7.001405025317098
rel_heading	-2.698839470280026	-2.746684195439558
dev_collission	-9.510006209383874	-13.281112651263847
dev_ego_heading	-8.268896685830828	-4.7770758662145125
rel_heading	3.900926308980708	7.416796529331212
dev_collission	3.9252261150103642	6.204746972101077
dev_ego_heading	-6.62034435161879	-2.4466069806241855
rel_heading	1.8794419293790305	7.4421210425332145
dev_collission	-8.492345193590317	-3.8769803703284076
dev_ego_heading	-7.448135788135788	-7.66003556068331
rel_heading	-14.350500326680454	-15.0
dev_collission	-13.526261292358623	-20.0
dev_ego_heading	10.921021270469357	6.179418585734118
rel_heading	-10.78524572389078	-15.0
dev_collission	19.18191835759331	20.0
dev_ego_heading	-1.8164719268374458	-2.8102358926624027
rel_heading	-10.87393441825639	-10.968445375219376
dev_collission	2.4806080386242684	5.403986281398303
dev_ego_heading	-1.060113117174824	-3.650385117920375
rel_heading	6.777797581892589	6.55236495036126
dev_collission	3.0092211766897172	1.9752051370786354
dev_ego_heading	-2.714046357172519	-0.7296899615002813
rel_heading	13.036083208972471	6.506278565864172
dev_collission	-10.1033014677218	-7.88951177577048
dev_ego_heading	14.039548035054828	13.127147518528261
rel_heading	0.5577330025509948	0.6508836733487406
dev_collission	6.899013428622723	1.1163529367168152
dev_ego_heading	-14.689101069784629	-9.21777832581585
rel_heading	11.672187449863149	12.845577846139982
dev_collission	-5.562142724752208	-1.49991054201226
dev_ego_heading	6.294016271793353	1.3166013086644346
rel_heading	12.463930688675092	8.111290167553198
dev_collission	6.35698003575893	7.114722959378886
dev_ego_heading	-9.052682627614084	-15.0
rel_heading	-3.2193398281224166	-8.411718744492589
dev_collission	8.882310048451536	11.757016841630247
dev_ego_heading	6.82982839318467	-0.20412286273736313
rel_heading	7.776072879784387	6.307305161043409
dev_collission	-14.242861830184124	-8.55735227443331
dev_ego_heading	1.7353636100732643	-0.5402141099028803
rel_heading	8.950155885690783	8.81147039926126
dev_collission	4.078161920497699	12.436844238688053
dev_ego_heading	-11.792906361119346	-10.76028396133944
rel_heading	11.117160042355437	15.0
dev_collission	17.820685341885167	20.0
dev_ego_heading	-10.895135535288524	-10.484739243903743
rel_heading	10.303121380789293	8.802487189420544
dev_collission	-19.562016864634547	-16.510986930297605
dev_ego_heading	-12.849945679648581	-8.985511111726996
rel_heading	-10.502618500449662	-15.0
dev_collission	-4.6692296858151074	-0.15583208586856923
dev_ego_heading	6.1479934611396665	15.0
rel_heading	0.8600286118381444	0.6424734763257999
dev_collission	-1.226862327154091	-2.5072030391663285
dev_ego_heading	-0.5281584171681111	-2.4196443388689097
rel_heading	-0.1281796499679384	-1.5372652899422714
dev_collission	12.369025321859041	4.857232654716776
dev_ego_heading	-5.80322184710578	-9.983246831017539
rel_heading	-4.361734637207119	-11.417002681015616
dev_collission	13.613372730004507	20.0
dev_ego_heading	10.945775859023612	0.7200747465840683
rel_heading	-10.04240692356542	-6.469622544351927
dev_collission	0.30302066248559356	1.7825862487189565
dev_ego_heading	-10.806621917144117	-8.309458691872061
rel_heading	-8.730229766891151	-9.921652970210872
dev_collission	1.2906131278449173	4.650466528286437
dev_ego_heading	-11.609646590290243	-5.312234512789912
rel_heading	11.579927350283452	6.653308522200443
dev_collission	-11.43207306493347	-4.61189648597732
dev_ego_heading	3.987288273047284	5.931864737918126
rel_heading	-4.820625028474492	-8.51731513258871
dev_collission	7.69351624149197	8.592639746974587
dev_ego_heading	11.398140912471984	6.428132716855898
rel_heading	9.789576386937679	7.009488682453728
dev_collission	-13.856019014322335	-7.320439261864121
dev_ego_heading	10.241156020846432	15.0
rel_heading	-4.5156982968179875	-5.682366697538714
dev_collission	-11.686809604121166	-9.98783363803182
dev_ego_heading	9.533171089919826	11.841850696221021
rel_heading	6.908243608275313	15.0
dev_collission	4.4317675524413325	1.827363960397808
dev_ego_heading	-11.926688367785053	-5.177839951716291
rel_heading	10.01121901423555	8.110412860664432
dev_collission	6.462993327728796	11.031917445361605
dev_ego_heading	6.091593110932678	15.0
rel_heading	-4.8821373152111995	-6.096440567087391
dev_collission	-16.45789697993696	-10.420819433924098
dev_ego_heading	3.797487808068677	2.1248179268481096
rel_heading	-11.91928821365789	-8.714284322092109
dev_collission	0.6516428719969447	0.2655842975434979
dev_ego_heading	-2.7557663709475317	-4.028349923959946
