parameter	lambda_true	lambda_predicted
dev_ego_heading	-13.100018205838067	-5.249178046989075
rel_heading	-11.817585561403117	-15.0
dev_collission	11.599899536753412	20.0
dev_ego_heading	12.254073893111897	1.4169674752716688
rel_heading	6.378201268256735	14.180530798946531
dev_collission	-3.192060545739995	18.681193560547065
dev_ego_heading	13.396384865993454	15.0
rel_heading	3.3813189050109216	1.2262737099068373
dev_collission	-9.215843706419445	-20.0
dev_ego_heading	-2.9423025832091447	-1.3598704601103926
rel_heading	7.183853885380675	7.046161216642064
dev_collission	-18.223097135927567	-9.798771302114634
dev_ego_heading	7.407517737360333	7.140020435157705
rel_heading	-0.17714426930085025	0.11603892104158199
dev_collission	5.656125294642422	20.0
dev_ego_heading	7.720065363338879	5.664512499973862
rel_heading	-4.960885461717016	-2.720430627348333
dev_collission	9.176823963168424	13.308173060855186
dev_ego_heading	12.43061049179163	7.756582217998071
rel_heading	7.2101321516982075	12.527957055466535
dev_collission	13.928228301309638	6.916010705989136
dev_ego_heading	14.552788814806242	4.622833111288392
rel_heading	-9.541684237651436	-11.195305492585568
dev_collission	-1.76624606531945	15.342772364908152
dev_ego_heading	-6.202886403604026	1.752873833054238
rel_heading	-1.4842163241752555	-2.4385698650640313
dev_collission	-10.449005086152795	-20.0
dev_ego_heading	9.741396241489944	1.126572907934155
rel_heading	5.916234865580897	15.0
dev_collission	13.655148895023508	6.415650985191151
dev_ego_heading	-11.144422989927753	-8.282297380713022
rel_heading	6.824352907142067	15.0
dev_collission	8.880440179929568	20.0
dev_ego_heading	4.542175130152835	15.0
rel_heading	3.1459573744407336	-0.34301776466189887
dev_collission	14.725404263558687	5.454640943509944
dev_ego_heading	-8.957445199617748	-8.626316523873736
rel_heading	-9.73953201437666	-15.0
dev_collission	-11.59399553714897	-20.0
dev_ego_heading	-12.89513769308799	-2.6974362073082405
rel_heading	3.981219594101926	15.0
dev_collission	0.39930697397122117	3.52132514998991
dev_ego_heading	14.793868175509697	14.313865759552186
rel_heading	-12.423034817948626	-14.335351632564523
dev_collission	-8.443364617214883	-14.48920550316343
dev_ego_heading	6.944219282304044	0.3351888035396286
rel_heading	6.080222817347401	7.1039562281649475
dev_collission	14.66795060611252	20.0
dev_ego_heading	-0.5511524613660672	4.771876534180591
rel_heading	-14.643494640843235	-15.0
dev_collission	1.3338359470148333	-10.477389966182232
dev_ego_heading	-2.050588214776244	-4.098040486102018
rel_heading	14.879881703722177	15.0
dev_collission	-8.405178363929299	-7.059206306946651
dev_ego_heading	9.909222081953974	15.0
rel_heading	-0.2867043678813488	-3.283436614665649
dev_collission	3.1339123988166087	-4.040398502195585
dev_ego_heading	1.6230038909931572	0.25120093392037823
rel_heading	6.542747440044341	9.992845756375456
dev_collission	-0.35051347235140184	14.254365658933594
dev_ego_heading	-8.02518286065931	-9.196734389342117
rel_heading	2.4192134031977126	15.0
dev_collission	11.261302155368533	20.0
dev_ego_heading	12.706157597548739	7.464660352762575
rel_heading	-4.997115483142471	-7.283267197740728
dev_collission	-13.017307900648266	-20.0
dev_ego_heading	-2.013777369045414	-4.284795256050782
rel_heading	-1.6354508033836126	-15.0
dev_collission	17.806408774876424	20.0
dev_ego_heading	11.439876106435516	15.0
rel_heading	6.728451105847228	-2.5643336679408057
dev_collission	-0.3242847585231132	-5.429164594897043
dev_ego_heading	14.511612280949326	15.0
rel_heading	-3.3941043240568796	-5.876747926727297
dev_collission	-19.803762380200368	-3.359011838470941
dev_ego_heading	7.724065198083203	2.761877723852235
rel_heading	-12.762806451151631	-8.9647333449725
dev_collission	4.30835107351248	1.4016336909099905
dev_ego_heading	-3.6431176100958282	-8.565830168618854
rel_heading	-10.3326887444973	-14.301044795170647
dev_collission	-5.276274951241305	-19.852461862070513
dev_ego_heading	-8.839664677474229	-4.945476984916797
rel_heading	3.405036703121464	-3.816697271428847
dev_collission	-0.16375575098151884	-9.147863582129103
dev_ego_heading	6.933049586509981	15.0
rel_heading	-11.141787473129963	-15.0
dev_collission	4.325603913809029	4.389768322726255
dev_ego_heading	7.4982353478369035	15.0
rel_heading	-5.550875005955996	-15.0
dev_collission	-6.902670228234271	-14.226754807012517
dev_ego_heading	6.618484336196548	-0.5893944593138067
rel_heading	13.305378901776802	9.986287547793125
dev_collission	8.953426057728034	3.2403324786608416
dev_ego_heading	5.963386095128072	5.562172636887666
rel_heading	-13.909089932620754	-15.0
dev_collission	-14.902720689442027	-12.812205727845026
dev_ego_heading	3.7502058793268773	5.050617996514756
rel_heading	-7.086591231852525	-15.0
dev_collission	16.962560286233376	20.0
dev_ego_heading	12.566518341151767	13.699589031427077
rel_heading	-2.0698769853822796	-1.9156005936060705
dev_collission	-12.87657462640249	-18.23359768274002
dev_ego_heading	3.4969429144617514	13.127147518528261
rel_heading	9.599622758627937	0.6508836733487406
dev_collission	16.484111019712053	1.1163529367168152
dev_ego_heading	0.9369143838577578	1.4169674752716688
rel_heading	8.058407797412325	14.180530798946531
dev_collission	16.419156855319514	18.681193560547065
dev_ego_heading	2.9740135797242075	6.554870700970083
rel_heading	0.3514026039856315	-3.0847973841393093
dev_collission	-13.557657802892242	-20.0
dev_ego_heading	10.459424794931639	15.0
rel_heading	-9.358198078761003	-15.0
dev_collission	4.979027535491905	4.264799468802055
dev_ego_heading	-8.229892630749472	-4.421693959035669
rel_heading	13.001795872778061	4.80604747151164
dev_collission	-4.8491761437359635	-3.3759398901944953
dev_ego_heading	-4.697181143223606	-9.537564064727956
rel_heading	-3.444097400413476	-10.624058160312401
dev_collission	15.582854028702492	20.0
dev_ego_heading	7.9276179774582936	14.502020315259383
rel_heading	-14.003432517893117	-10.084732757859038
dev_collission	3.7526207051240874	14.51972942396889
dev_ego_heading	-2.88327809327472	-9.828427729993852
rel_heading	-2.847782992769597	-10.998790608148283
dev_collission	13.111189664125959	20.0
dev_ego_heading	13.217375057122602	7.753428301098111
rel_heading	-0.4829318777411231	0.347318581826566
dev_collission	10.490532264244742	20.0
dev_ego_heading	-10.098612563960469	-7.43352034014848
rel_heading	9.056686234416144	15.0
dev_collission	9.353820011521933	15.593109895753265
dev_ego_heading	9.071744176044962	15.0
rel_heading	4.788700321705747	0.43036524339980275
dev_collission	13.92687750295984	4.079091538840711
dev_ego_heading	-5.484100988303142	0.6899475545445048
rel_heading	1.2067866327190693	-5.83132026708232
dev_collission	-3.215378904223776	-14.65179175781904
