parameter	lambda_true	lambda_predicted
dev_ego_heading	-13.25239758830689	-6.744107546837948
dev_ego_heading	0.7186794482969656	0.9521564968125995
dev_ego_heading	3.9648198702586654	4.04562476463427
dev_ego_heading	13.2076869445076	4.4389451403843765
dev_ego_heading	14.933607733764092	4.834042077085439
dev_ego_heading	12.747577099152252	4.524642204100292
dev_ego_heading	-9.618321624544468	-4.3215552897494325
dev_ego_heading	8.138931535747158	5.931864737918126
dev_ego_heading	12.025812686426164	4.957532093516207
dev_ego_heading	11.754459253229388	-7.462685948787763
dev_ego_heading	14.701044574324406	4.747795453847224
dev_ego_heading	-11.938057976353912	-5.547698892293024
dev_ego_heading	-13.132187783770979	-5.676768574408231
dev_ego_heading	11.450295255561976	4.55031353496958
dev_ego_heading	-13.350356922279953	-8.51731513258871
dev_ego_heading	8.218772375105758	5.1801004783270725
dev_ego_heading	-4.81796156688992	-2.3853142029252004
dev_ego_heading	-14.0	-5.504994709350356
dev_ego_heading	-11.0	-6.622917552313679
dev_ego_heading	-10.0	-5.001009481940898
dev_ego_heading	-9.0	-4.902199326719726
dev_ego_heading	-8.0	-3.3960435863025795
dev_ego_heading	-7.0	-3.0642599905229577
dev_ego_heading	-6.0	-2.6220420448447936
dev_ego_heading	-4.0	-4.198219508831658
dev_ego_heading	-3.0	-2.5382197403507605
dev_ego_heading	-2.0	-2.3054685737491436
dev_ego_heading	-1.0	-0.8122839897697158
dev_ego_heading	0.0	0.868968740000002
dev_ego_heading	1.0	1.2643050416955144
dev_ego_heading	3.0	2.1786494414680515
dev_ego_heading	5.0	2.3835919128670175
dev_ego_heading	7.0	6.907280304752136
dev_ego_heading	8.0	4.399964009775644
dev_ego_heading	9.0	4.891333451006684
dev_ego_heading	10.0	4.632534549335322
dev_ego_heading	12.0	5.931864737918126
dev_ego_heading	13.0	12.895300631660668
dev_ego_heading	14.0	4.625078213571839
dev_ego_heading	15.0	4.032728149842846
