parameter	lambda_true	lambda_predicted
dev_ego_heading	-7.5	-15.0
rel_heading	-10.0	-14.116106218946188
dev_collission	-18.75	-30.0
dev_ego_heading	0.0	3.55517833681932
rel_heading	0.0	0.8257000557491305
dev_collission	-7.5	-9.99630169579477
dev_ego_heading	7.5	1.526911333618256
rel_heading	10.0	16.269200545365663
dev_collission	3.75	0.28912546153444607
dev_ego_heading	15.0	1.7987695566528512
rel_heading	20.0	15.774695221284517
dev_collission	15.0	7.08281467385955
dev_ego_heading	-14.8	-10.533198620604278
rel_heading	-19.8	-20.0
dev_collission	-29.8	-24.95456158515321
dev_ego_heading	-8.88	-15.0
rel_heading	-11.88	-20.0
dev_collission	-20.880000000000003	-20.75817677290996
dev_ego_heading	-2.960000000000001	0.11408168810079823
rel_heading	-3.960000000000001	-9.39731340335831
dev_collission	-11.96	-30.0
dev_ego_heading	2.9599999999999973	1.7802408842729567
rel_heading	3.9599999999999973	15.774940975559137
dev_collission	-3.0400000000000027	-4.200772345626176
dev_ego_heading	8.879999999999999	2.0986009653785693
rel_heading	11.879999999999999	13.599486288083668
dev_collission	5.879999999999999	0.7715492486109228
dev_ego_heading	14.8	1.9164091683233018
rel_heading	19.8	7.608572541334335
dev_collission	14.8	6.215119384448742
dev_ego_heading	-14.6	-15.0
rel_heading	-19.6	-12.755362445078912
dev_collission	-29.6	-0.9396274055154169
dev_ego_heading	-4.866666666666667	-15.0
rel_heading	-6.533333333333333	-20.0
dev_collission	-14.866666666666667	-30.0
dev_ego_heading	-1.7763568394002505e-15	1.7055920195417489
rel_heading	0.0	-0.45175968510477993
dev_collission	-7.5	-30.0
dev_ego_heading	4.866666666666665	3.0414943220985706
rel_heading	6.533333333333335	12.430251257481117
dev_collission	-0.13333333333333286	-0.8568484318901828
dev_ego_heading	9.733333333333333	15.0
rel_heading	13.06666666666667	20.0
dev_collission	7.233333333333334	10.92886343472022
dev_ego_heading	14.6	0.5687708194315385
rel_heading	19.6	11.680488100576872
dev_collission	14.6	15.0
dev_ego_heading	-14.4	-9.981831532452993
rel_heading	-19.4	-19.973224804704564
dev_collission	-29.4	-29.94017532956658
dev_ego_heading	-10.285714285714285	-7.737566653766366
rel_heading	-13.857142857142856	-20.0
dev_collission	-23.142857142857142	-30.0
dev_ego_heading	-6.171428571428571	-0.5202964347792437
rel_heading	-8.314285714285713	-11.103440190373185
dev_collission	-16.885714285714286	-17.191251501052168
dev_ego_heading	-2.057142857142855	-2.5964998035064952
rel_heading	-2.7714285714285722	-5.413946248910097
dev_collission	-10.628571428571426	-22.314842386141706
dev_ego_heading	2.0571428571428587	3.652935794352714
rel_heading	2.7714285714285722	20.0
dev_collission	-4.37142857142857	-2.1891421159167126
dev_ego_heading	6.171428571428573	1.876000182743625
rel_heading	8.314285714285717	15.032656400570318
dev_collission	1.8857142857142861	0.6704399090595282
dev_ego_heading	10.28571428571429	1.7261441915107147
rel_heading	13.857142857142854	15.826669138189752
dev_collission	8.142857142857146	7.028750749622735
dev_ego_heading	14.4	1.7468720325346005
rel_heading	19.4	8.659098304867705
dev_collission	14.4	6.175163796816903
dev_ego_heading	-14.2	-9.853219942936134
rel_heading	-19.2	-20.0
dev_collission	-29.2	-18.349282524380424
dev_ego_heading	-10.649999999999999	-8.56879188550428
rel_heading	-14.399999999999999	-20.0
dev_collission	-23.775	-17.218588051866654
dev_ego_heading	-7.1	-1.4061812988729532
rel_heading	-9.6	-20.0
dev_collission	-18.35	-8.605433504644939
dev_ego_heading	-3.5500000000000007	-2.177225103328277
rel_heading	-4.800000000000001	-9.162227182882845
dev_collission	-12.925	-16.504485643214515
dev_ego_heading	0.0	-10.253297784456016
rel_heading	0.0	1.808106068128513
dev_collission	-7.5	-25.131297770074617
dev_ego_heading	3.5500000000000007	2.188017095138022
rel_heading	4.800000000000001	13.895266916534728
dev_collission	-2.0749999999999993	-2.961794891964775
dev_ego_heading	7.099999999999998	2.366116263099183
rel_heading	9.599999999999998	14.868812118169588
dev_collission	3.349999999999998	0.2963984559513897
dev_ego_heading	10.649999999999999	1.6878033157956498
rel_heading	14.400000000000002	14.54790280633668
dev_collission	8.775000000000002	0.6716750939930787
dev_ego_heading	14.2	1.3328022757182088
rel_heading	19.2	15.363582900986872
dev_collission	14.2	7.26902361019741
dev_ego_heading	-14.0	-15.0
rel_heading	-19.0	-20.0
dev_collission	-29.0	-30.0
dev_ego_heading	-10.88888888888889	-15.0
rel_heading	-14.777777777777779	-20.0
dev_collission	-24.22222222222222	-30.0
dev_ego_heading	-7.777777777777778	-15.0
rel_heading	-10.555555555555555	-20.0
dev_collission	-19.444444444444443	-29.999999999999996
dev_ego_heading	-1.5555555555555554	-2.9341178630135922
rel_heading	-2.1111111111111107	-4.585465381504155
dev_collission	-9.88888888888889	-22.418015497074364
dev_ego_heading	4.666666666666668	2.357342042828522
rel_heading	6.333333333333336	11.338439103060315
dev_collission	-0.3333333333333357	-2.0414238651238046
dev_ego_heading	7.777777777777779	7.070782509452057
rel_heading	10.555555555555557	9.262123113734996
dev_collission	4.444444444444443	2.240480313794817
dev_ego_heading	10.88888888888889	1.3939637600389305
rel_heading	14.777777777777779	13.985355064237611
dev_collission	9.222222222222221	1.6593076228948445
dev_ego_heading	-8.022202619768159	0.995331351415966
rel_heading	-11.21604953240929	15.523451743853682
dev_collission	14.612088779867072	7.149449486203672
dev_ego_heading	-14.128572541029852	-1.6639871924678569
rel_heading	15.642674481069434	20.0
dev_collission	-20.027720786000117	-4.450042184965181
dev_ego_heading	0.6054142114797916	1.4025138804709136
rel_heading	-8.930688462508659	-4.142569092453608
dev_collission	-25.7638773054545	-12.546691533437215
dev_ego_heading	7.325981488897593	2.8662901262656857
rel_heading	-2.631421205383152	-3.111253536771661
dev_collission	4.524570160863732	7.902302597564437
dev_ego_heading	-2.9341981392290304	0.5563778366247452
rel_heading	9.815501985188433	10.72596770970156
dev_collission	-18.08290995571959	-12.060054897721823
dev_ego_heading	-14.691261612806311	-3.4092612006957865
rel_heading	-0.7890983047466662	-2.4781723174999373
dev_collission	11.290076293513948	10.301858957728916
dev_ego_heading	-10.993855578308718	-14.73041706997335
rel_heading	-6.471695174609721	-4.5371486942548245
dev_collission	-11.086239391253038	-3.1199725230213353
dev_ego_heading	-4.518656173553609	-3.328158493835517
rel_heading	2.041448152009224	4.5877116470660075
dev_collission	4.898110061776983	4.088275208991182
dev_ego_heading	0.48316793820727	7.001405025317098
rel_heading	-1.528603407566468	-3.662245593919412
dev_collission	-6.176950382544103	-22.441251732671827
dev_ego_heading	2.8415600025460037	1.9787516884528933
rel_heading	-10.257680487982714	-0.5167182247453684
dev_collission	-21.0046487757496	-30.0
dev_ego_heading	11.230310433274244	14.046796539883537
rel_heading	-16.28895849590263	-19.957664384905087
dev_collission	-16.640578106350773	-20.41237929979581
dev_ego_heading	8.80545942004959	15.0
rel_heading	12.188452042759607	11.268260897436457
dev_collission	0.3730328898572708	0.9457471596701927
dev_ego_heading	-9.807607423944575	-15.0
rel_heading	-18.880322447699246	-12.159355933622878
dev_collission	3.2586859341464205	4.074726233744726
dev_ego_heading	-10.717083164845869	-7.575315573743516
rel_heading	16.900327705299276	20.0
dev_collission	-10.876888684218937	-6.208554069035168
dev_ego_heading	8.59584738828271	5.112994042189849
rel_heading	-7.998437352046972	-8.876259490985978
dev_collission	6.157538975166162	15.0
dev_ego_heading	-6.3788247431298775	-3.4160924005223583
rel_heading	-6.172337518990997	-5.025807473656868
dev_collission	-26.304615895241785	-22.511170879586977
dev_ego_heading	-6.462273872901628	-6.787305813054791
rel_heading	-8.205585951688619	-12.204375871644041
dev_collission	-3.192921836635474	-9.482507698032302
dev_ego_heading	10.793749058146268	5.05623545426851
rel_heading	-0.3854080220067502	-1.167369001128969
dev_collission	4.878144889317163	15.0
dev_ego_heading	11.281170784893298	13.699589031427077
rel_heading	-1.1061344330736311	-2.554134124808094
dev_collission	-20.661327672973442	-28.01279739308252
dev_ego_heading	-4.552463778917568	-3.2048378316207193
rel_heading	-6.080902082885643	-4.262147593063023
dev_collission	-25.519048098910027	-20.865991100947042
dev_ego_heading	-1.9376131667376537	-0.37159788765883983
rel_heading	-16.092105093251984	-12.242515174260959
dev_collission	13.234326158392612	15.0
dev_ego_heading	-0.41813543890024185	1.3531932611134494
rel_heading	5.102437452194227	10.735514711867992
dev_collission	-7.294912745505865	-13.15079688565259
dev_ego_heading	10.620908299923464	15.0
rel_heading	-8.801327915170965	-14.203236833329758
dev_collission	-9.469314801530643	-20.099287120974555
dev_ego_heading	0.06906901581676728	1.3826265827609618
rel_heading	6.164800461093385	14.431928362513682
dev_collission	9.560508255297428	1.4114303000686081
dev_ego_heading	1.1203868877637575	1.6094491931189125
rel_heading	10.45447192314299	20.0
dev_collission	-2.9731357156747436	0.07583077155889881
dev_ego_heading	-6.7588947252274725	-7.540238570507757
rel_heading	14.875615322702131	14.341194844999254
dev_collission	7.068630334703002	2.660692335014081
dev_ego_heading	6.614189786244733	3.7070599891017073
rel_heading	-4.241418549195416	-3.1760631770128915
dev_collission	-7.43659124461265	-12.638780473975574
dev_ego_heading	13.680770251925303	3.804094803483231
rel_heading	18.20723693343782	14.177907562348405
dev_collission	-0.557355339302422	-0.43280847499999486
dev_ego_heading	8.436109314908364	4.298592163514393
rel_heading	3.9221882777536194	0.10497388130616872
dev_collission	-23.10634930493639	-30.0
dev_ego_heading	5.064562395993924	2.8533950865231708
rel_heading	9.689228543326628	10.024115818628216
dev_collission	-8.744408211579092	-3.1765949603895045
dev_ego_heading	-11.768093199222669	-6.458229871852372
rel_heading	-10.824606480184396	-20.0
dev_collission	-22.00950039478329	-30.0
dev_ego_heading	-2.4518983573530573	-2.8793512853628376
rel_heading	-11.227870962693128	-13.428396494957427
dev_collission	-5.674582793828488	-5.768034696814622
dev_ego_heading	4.6727022270927705	4.7458013560009515
rel_heading	-1.2934075094610797	-1.6451186274683098
dev_collission	1.5720747031436275	0.6389508713909489
