parameter	lambda_true	lambda_predicted
dev_collission	-20.0	-15.0
dev_collission	-5.0	-12.01005703121891
dev_collission	2.5	0.45883269618552214
dev_collission	10.0	10.0
dev_collission	-20.0	-15.0
dev_collission	-14.0	-15.0
dev_collission	-8.0	-9.59776261049059
dev_collission	4.0	1.5068340372732605
dev_collission	10.0	10.0
dev_collission	-20.0	-15.0
dev_collission	-15.0	-15.0
dev_collission	-10.0	-10.131438654786326
dev_collission	0.0	-0.11508526084497879
dev_collission	5.0	2.870399841859115
dev_collission	10.0	10.0
dev_collission	-20.0	-13.975540325937246
dev_collission	-11.428571428571429	-11.732281638423508
dev_collission	-7.142857142857142	-6.864386748569074
dev_collission	-2.8571428571428577	-2.7779236499701323
dev_collission	1.428571428571427	0.42290386721869316
dev_collission	5.714285714285715	2.2632130513188464
dev_collission	10.0	10.0
dev_collission	-16.25	-15.0
dev_collission	-12.5	-9.035487462831595
dev_collission	-8.75	-12.607647250689242
dev_collission	-5.0	-5.58759794551422
dev_collission	-1.25	-0.827994075093627
dev_collission	2.5	1.4677085957166605
dev_collission	6.25	0.8469767208896184
dev_collission	10.0	4.206379625136714
